Face_Count,EAR,MAR
0.0,-0.18916461340541202,-0.08212005336759375
1.0,-0.15425234989209186,-0.1280315134140087
2.0,-0.14183514320792082,-0.005219067015057047
3.0,-0.0858651814789708,-0.1303707426126098
4.0,-0.06810414163495063,-0.07600457006294903
5.0,-0.09196234709196456,0.04173758656340178
6.0,-0.10898653020240906,0.010299188198807162
7.0,-0.058604124898892405,0.04925653840204783
8.0,-0.034654617553735376,-0.023536268822418674
9.0,0.05415333860805167,-0.12193444091502684
10.0,0.0007476144507372745,0.023567968752665966
11.0,0.0321763809454483,0.07358169470505453
12.0,-0.015729868703978873,0.18275730914336152
13.0,0.0277158417859032,0.024947252896896727
14.0,-0.0029903570072771536,0.01771336262187136
15.0,-0.09013153197080376,0.11697729495850007
16.0,0.020610056589933715,0.31406840529976693
17.0,0.06914018408514071,0.367808572308523
18.0,0.21626826515524036,0.5117816463530789
19.0,0.1983062565101798,0.43224136062729107
20.0,0.20418190213987916,0.5199655641826355
21.0,0.12346280180613517,0.5503868199932773
22.0,0.19080933225864447,0.5592138874246553
23.0,0.282227413466999,0.6006659519706576
24.0,0.26431291901270426,0.6967075835482517
25.0,0.1673438699434276,0.8664652512965961
26.0,0.20640259473010836,0.9045392847461047
27.0,0.1939870330995905,0.8457259308896798
28.0,0.2853360097186797,0.8906044169326353
29.0,0.2980735688086282,0.8506295311846434
30.0,0.2186058277641042,0.6606209542018375
31.0,0.28721546397453646,0.4291622238939199
32.0,0.4076088773738239,0.3124231424953598
33.0,0.43866356411991003,0.12584142768743156
34.0,0.45836708918454677,0.043125107012417604
35.0,0.5483083549354506,0.019478512883998492
36.0,0.5849251381860804,-0.2827830304905648
37.0,0.5307751706708165,-0.5201390661845632
38.0,0.5212925139950705,-0.5624246014082658
39.0,0.5973596895183384,-0.4834074577359191
40.0,0.7101738571936517,-0.6354940027175388
41.0,0.9875079918545957,-0.6374586442851615
42.0,0.95754003668693,-0.8276512264452869
43.0,1.0399344755213107,-0.9346460927724554
44.0,1.1310139496859342,-0.9908088137172724
45.0,1.1482152658430254,-0.9916214428406193
46.0,1.027776054860984,-1.0733578582765038
47.0,0.653459366113212,-1.0321953345178294
48.0,0.7960146342589685,-1.0532939714114606
49.0,0.9247988356323262,-1.2724834140715666
50.0,0.8304024468405921,-1.310025565323048
51.0,0.9406729644661324,-1.472994143424873
52.0,1.000948244105985,-1.5897387662636284
53.0,0.9712801465380009,-1.4053545656126585
54.0,1.0344456973939757,-1.4510277833675125
55.0,1.0373845261100625,-1.4980317068732985
56.0,1.0313431368179626,-1.4425287081612463
57.0,1.0877037374038268,-1.440542186007277
58.0,1.1780776464725242,-1.2094214170281845
59.0,1.0394196929936808,-1.3330566366915948
60.0,0.9893692157105264,-1.2579890317592526
61.0,0.8778430715100455,-1.3005954897788592
62.0,0.8933666575394341,-1.5771633197891228
63.0,0.6741911279512085,-1.6403308052160293
64.0,0.24945084156524538,-2.454589610127004
65.0,-0.22511770596690878,-2.981416718384155
66.0,-0.4250572639582657,-2.454240197721635
67.0,-0.3087464908808182,-1.9087868790803795
68.0,-0.3759532341088174,-1.124619947294665
69.0,-0.1789127687420797,-1.7234421533620021
70.0,0.027370768784317462,-1.590669695190753
71.0,0.053773917924281794,-1.852560062591884
72.0,-0.10465680541384417,-1.8275177317955722
73.0,-0.14759297399358914,-1.8989623411034455
74.0,-0.23261530813354744,-2.1839765138920573
75.0,-0.08362853363609035,-2.2348513116219686
76.0,-0.07461660838383218,-2.229295533306069
77.0,0.02765827070915028,-2.304237238443199
78.0,-0.9130055643836863,-2.5086933183492155
79.0,-1.1126144602042758,-3.018939902462993
80.0,-0.8349907590056708,-2.703812550938468
81.0,-0.8265524742909605,-2.46827546816755
82.0,-0.8461189606073806,-2.1231078905542833
83.0,-0.34817226428923415,-2.588773199472262
84.0,0.34088040307401335,-2.331500775876438
85.0,0.5863791878534479,-2.080972455205786
86.0,0.26002967352554324,-2.416067117843533
87.0,0.12875296397366331,-2.194942610463587
88.0,0.15993674876369626,-1.8708801060971303
89.0,-0.5063126825714246,-1.766652722515594
90.0,-0.721784064970224,-1.432984028050675
91.0,-0.8292853193796194,-1.0520613956448357
92.0,-0.7643174344912621,-0.750311577491761
93.0,-0.8230511021171865,-0.8194542172950998
94.0,-0.7096579429928598,-0.5304957144576943
95.0,-0.6527318245051733,-0.3094909793430736
96.0,-0.5865005413821875,-0.16142172903916083
97.0,-0.4636939889582123,-0.04211003828206919
98.0,-0.38573364113154784,0.17845444270695646
99.0,-0.21551719079101656,0.36926608218491963
100.0,-0.10366806425455802,0.39288842072460733
101.0,0.08736814832082536,0.5735804339693458
102.0,0.2911190854066308,0.5000128764603898
103.0,0.4587308300141307,0.4460728861478555
104.0,0.5669636942990556,0.6003310276610759
105.0,0.6206062297370936,0.4104893403548512
106.0,0.7242176476769724,0.3649434029065264
107.0,0.8554919404874473,0.43373278674085014
108.0,1.053965429311348,0.4514089583976633
109.0,1.092618124488523,0.7639284699236365
